,url,save_dir_name,exp,bios
0,https://www.encodeproject.org/files/ENCFF686VLF/@@download/ENCFF686VLF.bam,/project/compbio-lab/encode_data//ENCBS000UPK/DNase-seq/ENCFF686VLF.bam,DNase-seq,ENCBS000UPK
1,https://www.encodeproject.org/files/ENCFF942XGJ/@@download/ENCFF942XGJ.bam,/project/compbio-lab/encode_data//ENCBS000VYM/DNase-seq/ENCFF942XGJ.bam,DNase-seq,ENCBS000VYM
2,https://www.encodeproject.org/files/ENCFF433NRH/@@download/ENCFF433NRH.bam,/project/compbio-lab/encode_data//ENCBS001PEH/H3K27ac/ENCFF433NRH.bam,H3K27ac,ENCBS001PEH
3,https://www.encodeproject.org/files/ENCFF711BUA/@@download/ENCFF711BUA.bam,/project/compbio-lab/encode_data//ENCBS001PEH/H3K27me3/ENCFF711BUA.bam,H3K27me3,ENCBS001PEH
4,https://www.encodeproject.org/files/ENCFF269BFR/@@download/ENCFF269BFR.bam,/project/compbio-lab/encode_data//ENCBS001PEH/H3K36me3/ENCFF269BFR.bam,H3K36me3,ENCBS001PEH
5,https://www.encodeproject.org/files/ENCFF440HBN/@@download/ENCFF440HBN.bam,/project/compbio-lab/encode_data//ENCBS001PEH/H3K4me1/ENCFF440HBN.bam,H3K4me1,ENCBS001PEH
6,https://www.encodeproject.org/files/ENCFF162MUZ/@@download/ENCFF162MUZ.bam,/project/compbio-lab/encode_data//ENCBS001PEH/H3K4me3/ENCFF162MUZ.bam,H3K4me3,ENCBS001PEH
7,https://www.encodeproject.org/files/ENCFF931LRY/@@download/ENCFF931LRY.bam,/project/compbio-lab/encode_data//ENCBS001PEH/H3K9me3/ENCFF931LRY.bam,H3K9me3,ENCBS001PEH
8,https://www.encodeproject.org/files/ENCFF739DIO/@@download/ENCFF739DIO.bam,/project/compbio-lab/encode_data//ENCBS002SWL/DNase-seq/ENCFF739DIO.bam,DNase-seq,ENCBS002SWL
9,https://www.encodeproject.org/files/ENCFF041FKK/@@download/ENCFF041FKK.bam,/project/compbio-lab/encode_data//ENCBS003DOL/ATAC-seq/ENCFF041FKK.bam,ATAC-seq,ENCBS003DOL
10,https://www.encodeproject.org/files/ENCFF449IIA/@@download/ENCFF449IIA.bam,/project/compbio-lab/encode_data//ENCBS003ENC/DNase-seq/ENCFF449IIA.bam,DNase-seq,ENCBS003ENC
11,https://www.encodeproject.org/files/ENCFF616DYV/@@download/ENCFF616DYV.bam,/project/compbio-lab/encode_data//ENCBS003HWJ/ATAC-seq/ENCFF616DYV.bam,ATAC-seq,ENCBS003HWJ
